"Sitio","Region","Latitud","Longitud","Distancia hipocentral (km)","Intensidad","Escala","Autor","Calidad"
"Penol","Antioquia","6.23","-75.26","180.5","7","MM","SGC-UN","Aceptable"
"Pueblorrico","Antioquia","5.81","-75.82","112.27","8","EMS-98","SGC-UN","Buena"
"Pueblorrico","Antioquia","5.81","-75.82","112.27","9","MM","SGC-UN","Buena"
"Retiro","Antioquia","6.06","-75.51","149.89","7","EMS-98","SGC-UN","Aceptable"
"Retiro","Antioquia","6.06","-75.51","149.89","7","MM","SGC-UN","Aceptable"
"Rionegro","Antioquia","6.15","-75.37","166.59","7","EMS-98","SGC-UN","Aceptable"
"Rionegro","Antioquia","6.15","-75.37","166.59","7","MM","SGC-UN","Aceptable"
"Salgar","Antioquia","5.96","-75.96","116.9","6","EMS-98","SGC-UN","Buena"
"Salgar","Antioquia","5.96","-75.96","116.9","7","MM","SGC-UN","Buena"
"San Jose","Antioquia","5.74","-75.87","104.37","8","EMS-98","","Buena"
"San Jose","Antioquia","5.74","-75.87","104.37","8","MM","","Buena"
"San Luis","Antioquia","6.05","-74.99","190.54","8","EMS-98","SGC-UN","Insuficiente"
"San Luis","Antioquia","6.05","-74.99","190.54","8","MM","SGC-UN","Insuficiente"
"San Vicente","Antioquia","6.28","-75.34","178.45","7","EMS-98","SGC-UN","Aceptable"
"San Vicente","Antioquia","6.28","-75.34","178.45","8","MM","SGC-UN","Aceptable"
"Santa Barbara","Antioquia","5.87","-75.57","132.71","8","EMS-98","SGC-UN","Aceptable"
"Santa Barbara","Antioquia","5.87","-75.57","132.71","8","MM","SGC-UN","Aceptable"
"Santa Barbara","Antioquia","5.87","-75.57","132.71","8","MM","CERESIS","Sin dato"
"Santa Fe de Antioquia","Antioquia","6.55","-75.85","174.92","5","EMS-98","SGC-UN","Buena"
"Santa Fe de Antioquia","Antioquia","6.55","-75.85","174.92","5","MM","SGC-UN","Buena"
"Santo Domingo","Antioquia","6.47","-75.18","204.41","7","EMS-98","SGC-UN","Insuficiente"
"Santo Domingo","Antioquia","6.47","-75.18","204.41","7","MM","SGC-UN","Insuficiente"
"Sonson","Antioquia","5.72","-75.32","144.55","8","EMS-98","SGC-UN","Buena"
"Sonson","Antioquia","5.72","-75.32","144.55","8","MM","CERESIS","Sin dato"
"Sonson","Antioquia","5.72","-75.32","144.55","9","MM","SGC-UN","Buena"
"Sonson","Antioquia","5.72","-75.32","144.55","7","MM","CERESIS","Sin dato"
"Tamesis","Antioquia","5.67","-75.73","109.31","7","EMS-98","SGC-UN","Insuficiente"
"Tamesis","Antioquia","5.67","-75.73","109.31","8","MM","SGC-UN","Insuficiente"
"Urrao","Antioquia","6.33","-76.15","145.49","8","EMS-98","SGC-UN","Aceptable"
"Urrao","Antioquia","6.33","-76.15","145.49","8","MM","SGC-UN","Aceptable"
"Valparaiso","Antioquia","5.62","-75.63","114.26","8","EMS-98","SGC-UN","Aceptable"
"Valparaiso","Antioquia","5.62","-75.63","114.26","9","MM","SGC-UN","Aceptable"
"Medellin","Antioquia","6.27","-75.58","143.04","5","EMS-98","SGC-UN","Buena"
"Medellin","Antioquia","6.27","-75.58","143.04","5","MM","SGC-UN","Buena"
"Medellin","Antioquia","6.27","-75.58","335.09","2","EMS-98","","Buena"
"Medellin","Antioquia","6.27","-75.58","335.09","2","MM","","Buena"
